PLAYLIST CREATEadmin,Seconda,Love In An Elevator, Aerosmith, 1989
admin,Seconda,Cradle of Love, Billy Idol, 1990
admin,Seconda,I Love the Night, Blue Oyster Cult, 1977
admin,Seconda,One Love, Bob Marley, 1977
admin,Seconda,You Give Love A Bad Name, Bon Jovi, 1986
admin,Seconda,Modern Love, David Bowie, 1983
admin,Seconda,Love Bites, Def Leppard, 1987
admin,Seconda,Expresso Love, Dire Straits, 1980
admin,Seconda,Love Is Like A Rock, Donnie Iris, 1981
admin,Seconda,Victim of Love, Eagles, 1976
admin,Seconda,Fooled around and Fell in Love, Elvin Bishop, 1975
admin,Seconda,Bad Love, Eric Clapton, 1989
admin,Seconda,I Want to Know What Love Is, Foreigner, 1984
admin,Seconda,Used To Love Her, Guns N' Roses, 1988
admin,Seconda,I Love Rock 'n Roll, Joan Jett, 1981
admin,Seconda,I Need A Lover, John Mellencamp, 1978
admin,Seconda,Send Her My Love, Journey, 1983
admin,Seconda,Calling Dr. Love, Kiss, 1976
admin,Seconda,All My Love, Led Zeppelin, 1979
admin,Seconda,Love Hurts, Nazareth, 1976
admin,Seconda,Don't Tell Me You Love Me, Night Ranger, 1982
admin,Seconda,Love Is A Battlefield, Pat Benatar, 1983
admin,Seconda,Silly Love Songs, Paul McCartney & Wings, 1976
admin,Seconda,50 Ways to Leave Your Lover, Paul Simon, 1975
admin,Seconda,Let My Love Open the Door, Pete Townshend, 1980
admin,Seconda,Crazy Little Thing Called Love, Queen, 1979
admin,Seconda,Somebody To Love, Queen, 1976
admin,Seconda,The One I Love, R.E.M., 1987
admin,Seconda,Addicted to Love, Robert Palmer, 1985
admin,Seconda,Tainted Love, Soft Cell, 1981
admin,Seconda,Jungle Love, Steve Miller Band, 1977
admin,Seconda,Higher Love, Steve Winwood, 1986
admin,Seconda,Interstate Love Song, Stone Temple Pilots, 1994
admin,Seconda,Love Is Like Oxygen, Sweet, 1978
admin,Seconda,Love Song, Tesla, 1989
admin,Seconda,Love Shack, The B-52's, 1989
admin,Seconda,Bye Bye Love, The Cars, 1978
admin,Seconda,Your Love, The Outfield, 1985
admin,Seconda,A Woman In Love, Tom Petty & The Heartbreakers, 1981
admin,Seconda,Pride (In the Name of Love), U2, 1984
admin,Seconda,When Love Comes to Town, U2, 1988
admin,Seconda,Ain't Talkin' 'bout Love, Van Halen, 1978
admin,Seconda,Love Walks In, Van Halen, 1986
admin,Seconda,When It's Love, Van Halen, 1988
admin,Seconda,Why Can't This Be Love, Van Halen, 1986
admin,Seconda,Is This Love, Whitesnake, 1987
admin,brano,Love In An Elevator, Aerosmith, 1989
admin,brano,Cradle of Love, Billy Idol, 1990
admin,brano,I Love the Night, Blue Oyster Cult, 1977
admin,brano,One Love, Bob Marley, 1977
admin,brano,You Give Love A Bad Name, Bon Jovi, 1986
admin,brano,Modern Love, David Bowie, 1983
admin,brano,Love Bites, Def Leppard, 1987
admin,brano,Expresso Love, Dire Straits, 1980
admin,brano,Love Is Like A Rock, Donnie Iris, 1981
admin,brano,Victim of Love, Eagles, 1976
admin,brano,Fooled around and Fell in Love, Elvin Bishop, 1975
admin,brano,Bad Love, Eric Clapton, 1989
admin,brano,I Want to Know What Love Is, Foreigner, 1984
admin,brano,Used To Love Her, Guns N' Roses, 1988
admin,brano,I Love Rock 'n Roll, Joan Jett, 1981
admin,brano,I Need A Lover, John Mellencamp, 1978
admin,brano,Send Her My Love, Journey, 1983
admin,brano,Calling Dr. Love, Kiss, 1976
admin,brano,All My Love, Led Zeppelin, 1979
admin,brano,Love Hurts, Nazareth, 1976
admin,brano,Don't Tell Me You Love Me, Night Ranger, 1982
admin,brano,Love Is A Battlefield, Pat Benatar, 1983
admin,brano,Silly Love Songs, Paul McCartney & Wings, 1976
admin,brano,50 Ways to Leave Your Lover, Paul Simon, 1975
admin,brano,Let My Love Open the Door, Pete Townshend, 1980
admin,brano,Crazy Little Thing Called Love, Queen, 1979
admin,brano,Somebody To Love, Queen, 1976
admin,brano,The One I Love, R.E.M., 1987
admin,brano,Addicted to Love, Robert Palmer, 1985
admin,brano,Tainted Love, Soft Cell, 1981
admin,brano,Jungle Love, Steve Miller Band, 1977
admin,brano,Higher Love, Steve Winwood, 1986
admin,brano,Interstate Love Song, Stone Temple Pilots, 1994
admin,brano,Love Is Like Oxygen, Sweet, 1978
admin,brano,Love Song, Tesla, 1989
admin,brano,Love Shack, The B-52's, 1989
admin,brano,Bye Bye Love, The Cars, 1978
admin,brano,Your Love, The Outfield, 1985
admin,brano,A Woman In Love, Tom Petty & The Heartbreakers, 1981
admin,brano,Pride (In the Name of Love), U2, 1984
admin,brano,When Love Comes to Town, U2, 1988
admin,brano,Ain't Talkin' 'bout Love, Van Halen, 1978
admin,brano,Love Walks In, Van Halen, 1986
admin,brano,When It's Love, Van Halen, 1988
admin,brano,Why Can't This Be Love, Van Halen, 1986
admin,brano,Is This Love, Whitesnake, 1987
admin,Elvis,Alison, Elvis Costello, 1977
admin,Elvis,Pump It Up, Elvis Costello, 1978
admin,Elvis,Veronica, Elvis Costello, 1989
admin,Anno,Rockin' Into the Night, .38 Special, 1980
davide,Personal,Love In An Elevator, Aerosmith, 1989
davide,Personal,Cradle of Love, Billy Idol, 1990
davide,Personal,I Love the Night, Blue Oyster Cult, 1977
davide,Personal,One Love, Bob Marley, 1977
davide,Personal,You Give Love A Bad Name, Bon Jovi, 1986
davide,Personal,Modern Love, David Bowie, 1983
davide,Personal,Love Bites, Def Leppard, 1987
davide,Personal,Expresso Love, Dire Straits, 1980
davide,Personal,Love Is Like A Rock, Donnie Iris, 1981
davide,Personal,Victim of Love, Eagles, 1976
davide,Personal,Fooled around and Fell in Love, Elvin Bishop, 1975
davide,Personal,Bad Love, Eric Clapton, 1989
davide,Personal,I Want to Know What Love Is, Foreigner, 1984
davide,Personal,Used To Love Her, Guns N' Roses, 1988
davide,Personal,I Love Rock 'n Roll, Joan Jett, 1981
davide,Personal,I Need A Lover, John Mellencamp, 1978
davide,Personal,Send Her My Love, Journey, 1983
davide,Personal,Calling Dr. Love, Kiss, 1976
davide,Personal,All My Love, Led Zeppelin, 1979
davide,Personal,Love Hurts, Nazareth, 1976
davide,Personal,Don't Tell Me You Love Me, Night Ranger, 1982
davide,Personal,Love Is A Battlefield, Pat Benatar, 1983
davide,Personal,Silly Love Songs, Paul McCartney & Wings, 1976
davide,Personal,50 Ways to Leave Your Lover, Paul Simon, 1975
davide,Personal,Let My Love Open the Door, Pete Townshend, 1980
davide,Personal,Crazy Little Thing Called Love, Queen, 1979
davide,Personal,Somebody To Love, Queen, 1976
davide,Personal,The One I Love, R.E.M., 1987
davide,Personal,Addicted to Love, Robert Palmer, 1985
davide,Personal,Tainted Love, Soft Cell, 1981
davide,Personal,Jungle Love, Steve Miller Band, 1977
davide,Personal,Higher Love, Steve Winwood, 1986
davide,Personal,Interstate Love Song, Stone Temple Pilots, 1994
davide,Personal,Love Is Like Oxygen, Sweet, 1978
davide,Personal,Love Song, Tesla, 1989
davide,Personal,Love Shack, The B-52's, 1989
davide,Personal,Bye Bye Love, The Cars, 1978
davide,Personal,Your Love, The Outfield, 1985
davide,Personal,A Woman In Love, Tom Petty & The Heartbreakers, 1981
davide,Personal,Pride (In the Name of Love), U2, 1984
davide,Personal,When Love Comes to Town, U2, 1988
davide,Personal,Ain't Talkin' 'bout Love, Van Halen, 1978
davide,Personal,Love Walks In, Van Halen, 1986
davide,Personal,When It's Love, Van Halen, 1988
davide,Personal,Why Can't This Be Love, Van Halen, 1986
davide,Personal,Is This Love, Whitesnake, 1987
