admin,PersonalPlaylist,Kryptonite,3 Doors Down,2000
admin,PersonalPlaylist,Loser, 3 Doors Down, 2000
admin,PersonalPlaylist,Beautiful Day, U2, 2000
admin,Personale,Cowboy,Kid Rock,1998
admin,Personale,American Woman,Lenny Kravitz,1998
admin,Personale,Fly Away,Lenny Kravitz,1998
admin,Personale,Breadfan,Metallica,1998
admin,Personale,Iris,The Goo Goo Dolls,1998
admin,Personale,The Kids Aren't Alright,The Offspring,1998
admin,Allenamento,Hard As A Rock,AC/DC,1995
admin,Allenamento,Hand In My Pocket,Alanis Morissette,1995
admin,Allenamento,You Oughta Know,Alanis Morissette,1995
admin,Allenamento,The World I Know,Collective Soul,1995
admin,Allenamento,Counting Blue Cars,Dishwalla,1995
admin,Allenamento,Brain Stew/Jaded,Green Day,1995
admin,Allenamento,Wonderwall,Oasis,1995
admin,Allenamento,Perry Mason,Ozzy Osbourne,1995
admin,Allenamento,1979,Smashing Pumpkins,1995
admin,Allenamento,Bullet With Butterfly Wings,Smashing Pumpkins,1995
Luca,Passeggiate,Angel Of Harlem,U2,1988
Luca,Passeggiate,Bad,U2,1984
Luca,Passeggiate,Beautiful Day,U2,2000
Luca,Passeggiate,Bullet the Blue Sky,U2,1987
Luca,Passeggiate,Desire,U2,1988
Luca,Passeggiate,Even Better Than the Real Thing,U2,1991
Luca,Passeggiate,I Still Haven't Found What I'm Looking For,U2,1987
Luca,Passeggiate,I Will Follow,U2,1980
Luca,Passeggiate,MLK/Pride,U2,1984
Luca,Passeggiate,Mysterious Ways,U2,1991
Luca,Passeggiate,New Year's Day,U2,1983
Luca,Passeggiate,One,U2,1991
Luca,Passeggiate,Pride (In the Name of Love),U2,1984
Luca,Passeggiate,Sunday Bloody Sunday,U2,1983
Luca,Passeggiate,Sweetest Thing,U2,1987
Luca,Passeggiate,Vertigo,U2,2004
Luca,Passeggiate,When Love Comes to Town,U2,1988
Luca,Passeggiate,Where the Streets Have No Name,U2,1987
Luca,Passeggiate,With Or Without You,U2,1987
Marco,Macchina,Back In Black,AC/DC,1980
Marco,Macchina,Big Gun,AC/DC,1993
Marco,Macchina,Dirty Deeds Done Dirt Cheap,AC/DC,1976
Marco,Macchina,For Those About To Rock,AC/DC,1981
Marco,Macchina,Hard As A Rock,AC/DC,1995
Marco,Macchina,Have a Drink On Me,AC/DC,1980
Marco,Macchina,Hells Bells,AC/DC,1980
Marco,Macchina,Highway To Hell,AC/DC,1979
Marco,Macchina,Jailbreak,AC/DC,1984
Marco,Macchina,Let There Be Rock,AC/DC,1977
Marco,Macchina,Night Prowler,AC/DC,1979
Marco,Macchina,Rock and Roll Ain't Noise Pollution,AC/DC,1980
Marco,Macchina,Shot Down In Flames,AC/DC,1979
Marco,Macchina,Thunderstruck,AC/DC,1990
Marco,Macchina,Touch Too Much,AC/DC,1979
Marco,Macchina,Who Made Who,AC/DC,1986
Marco,Macchina,Whole Lotta Rosie,AC/DC,1977
Marco,Macchina,You Shook Me All Night Long,AC/DC,1980
